tgl_hari_krj,musim_hari,hari_kerja,jml_musim_hari,tgl_hari_jam,musim_jam,jam,jml_musim_jam
2012-09-03,Fall,1.0,26.0,,,,
2012-09-10,Fall,1.0,26.0,,,,
2012-09-17,Fall,1.0,26.0,,,,
2011-06-21,Fall,2.0,27.0,,,,
2011-06-28,Fall,2.0,27.0,,,,
2011-07-05,Fall,2.0,27.0,,,,
2011-07-12,Fall,2.0,27.0,,,,
2011-07-19,Fall,2.0,27.0,,,,
2011-07-26,Fall,2.0,27.0,,,,
2011-08-02,Fall,2.0,27.0,,,,
2011-08-09,Fall,2.0,27.0,,,,
2011-08-16,Fall,2.0,27.0,,,,
2011-08-23,Fall,2.0,27.0,,,,
2011-08-30,Fall,2.0,27.0,,,,
2011-09-06,Fall,2.0,27.0,,,,
2011-09-13,Fall,2.0,27.0,,,,
2011-09-20,Fall,2.0,27.0,,,,
2012-06-26,Fall,2.0,27.0,,,,
2012-07-03,Fall,2.0,27.0,,,,
2012-07-10,Fall,2.0,27.0,,,,
2012-07-17,Fall,2.0,27.0,,,,
2012-07-24,Fall,2.0,27.0,,,,
2012-07-31,Fall,2.0,27.0,,,,
2012-08-07,Fall,2.0,27.0,,,,
2012-08-14,Fall,2.0,27.0,,,,
2012-08-21,Fall,2.0,27.0,,,,
2012-08-28,Fall,2.0,27.0,,,,
2012-09-04,Fall,2.0,27.0,,,,
2012-09-11,Fall,2.0,27.0,,,,
2012-09-18,Fall,2.0,27.0,,,,
2011-06-22,Fall,3.0,27.0,,,,
2011-06-29,Fall,3.0,27.0,,,,
2011-07-06,Fall,3.0,27.0,,,,
2011-07-13,Fall,3.0,27.0,,,,
2011-07-20,Fall,3.0,27.0,,,,
2011-07-27,Fall,3.0,27.0,,,,
2011-08-03,Fall,3.0,27.0,,,,
2011-08-10,Fall,3.0,27.0,,,,
2011-08-17,Fall,3.0,27.0,,,,
2011-08-24,Fall,3.0,27.0,,,,
2011-08-31,Fall,3.0,27.0,,,,
2011-09-07,Fall,3.0,27.0,,,,
2011-09-14,Fall,3.0,27.0,,,,
2011-09-21,Fall,3.0,27.0,,,,
2012-06-27,Fall,3.0,27.0,,,,
2012-07-04,Fall,3.0,27.0,,,,
2012-07-11,Fall,3.0,27.0,,,,
2012-07-18,Fall,3.0,27.0,,,,
2012-07-25,Fall,3.0,27.0,,,,
2012-08-01,Fall,3.0,27.0,,,,
2012-08-08,Fall,3.0,27.0,,,,
2012-08-15,Fall,3.0,27.0,,,,
2012-08-22,Fall,3.0,27.0,,,,
2012-08-29,Fall,3.0,27.0,,,,
2012-09-05,Fall,3.0,27.0,,,,
2012-09-12,Fall,3.0,27.0,,,,
2012-09-19,Fall,3.0,27.0,,,,
2011-06-23,Fall,4.0,28.0,,,,
2011-06-30,Fall,4.0,28.0,,,,
2011-07-07,Fall,4.0,28.0,,,,
2011-07-14,Fall,4.0,28.0,,,,
2011-07-21,Fall,4.0,28.0,,,,
2011-07-28,Fall,4.0,28.0,,,,
2011-08-04,Fall,4.0,28.0,,,,
2011-08-11,Fall,4.0,28.0,,,,
2011-08-18,Fall,4.0,28.0,,,,
2011-08-25,Fall,4.0,28.0,,,,
2011-09-01,Fall,4.0,28.0,,,,
2011-09-08,Fall,4.0,28.0,,,,
2011-09-15,Fall,4.0,28.0,,,,
2011-09-22,Fall,4.0,28.0,,,,
2012-06-21,Fall,4.0,28.0,,,,
2012-06-28,Fall,4.0,28.0,,,,
2012-07-05,Fall,4.0,28.0,,,,
2012-07-12,Fall,4.0,28.0,,,,
2012-07-19,Fall,4.0,28.0,,,,
2012-07-26,Fall,4.0,28.0,,,,
2012-08-02,Fall,4.0,28.0,,,,
2012-08-09,Fall,4.0,28.0,,,,
2012-08-16,Fall,4.0,28.0,,,,
2012-08-23,Fall,4.0,28.0,,,,
2012-08-30,Fall,4.0,28.0,,,,
2012-09-06,Fall,4.0,28.0,,,,
2012-09-13,Fall,4.0,28.0,,,,
2012-09-20,Fall,4.0,28.0,,,,
2011-06-24,Fall,5.0,27.0,,,,
2011-07-01,Fall,5.0,27.0,,,,
2011-07-08,Fall,5.0,27.0,,,,
2011-07-15,Fall,5.0,27.0,,,,
2011-07-22,Fall,5.0,27.0,,,,
2011-07-29,Fall,5.0,27.0,,,,
2011-08-05,Fall,5.0,27.0,,,,
2011-08-12,Fall,5.0,27.0,,,,
2011-08-19,Fall,5.0,27.0,,,,
2011-08-26,Fall,5.0,27.0,,,,
2011-09-02,Fall,5.0,27.0,,,,
2011-09-09,Fall,5.0,27.0,,,,
2011-09-16,Fall,5.0,27.0,,,,
2012-06-22,Fall,5.0,27.0,,,,
2012-06-29,Fall,5.0,27.0,,,,
2012-07-06,Fall,5.0,27.0,,,,
2012-07-13,Fall,5.0,27.0,,,,
2012-07-20,Fall,5.0,27.0,,,,
2012-07-27,Fall,5.0,27.0,,,,
2012-08-03,Fall,5.0,27.0,,,,
2012-08-10,Fall,5.0,27.0,,,,
2012-08-17,Fall,5.0,27.0,,,,
2012-08-24,Fall,5.0,27.0,,,,
2012-08-31,Fall,5.0,27.0,,,,
2012-09-07,Fall,5.0,27.0,,,,
2012-09-14,Fall,5.0,27.0,,,,
2012-09-21,Fall,5.0,27.0,,,,
2011-06-25,Fall,6.0,27.0,,,,
2011-07-02,Fall,6.0,27.0,,,,
2011-07-09,Fall,6.0,27.0,,,,
2011-07-16,Fall,6.0,27.0,,,,
2011-07-23,Fall,6.0,27.0,,,,
2011-07-30,Fall,6.0,27.0,,,,
2011-08-06,Fall,6.0,27.0,,,,
2011-08-13,Fall,6.0,27.0,,,,
2011-08-20,Fall,6.0,27.0,,,,
2011-08-27,Fall,6.0,27.0,,,,
2011-09-03,Fall,6.0,27.0,,,,
2011-09-10,Fall,6.0,27.0,,,,
2011-09-17,Fall,6.0,27.0,,,,
2012-06-23,Fall,6.0,27.0,,,,
2012-06-30,Fall,6.0,27.0,,,,
2012-07-07,Fall,6.0,27.0,,,,
2012-07-14,Fall,6.0,27.0,,,,
2012-07-21,Fall,6.0,27.0,,,,
2012-07-28,Fall,6.0,27.0,,,,
2012-08-04,Fall,6.0,27.0,,,,
2012-08-11,Fall,6.0,27.0,,,,
2012-08-18,Fall,6.0,27.0,,,,
2012-08-25,Fall,6.0,27.0,,,,
2012-09-01,Fall,6.0,27.0,,,,
2012-09-08,Fall,6.0,27.0,,,,
2012-09-15,Fall,6.0,27.0,,,,
2012-09-22,Fall,6.0,27.0,,,,
2011-01-02,Springer,0.0,27.0,,,,
2011-01-09,Springer,0.0,27.0,,,,
2011-01-16,Springer,0.0,27.0,,,,
2011-01-23,Springer,0.0,27.0,,,,
2011-01-30,Springer,0.0,27.0,,,,
2011-02-06,Springer,0.0,27.0,,,,
2011-02-13,Springer,0.0,27.0,,,,
2011-02-20,Springer,0.0,27.0,,,,
2011-02-27,Springer,0.0,27.0,,,,
2011-03-06,Springer,0.0,27.0,,,,
2011-03-13,Springer,0.0,27.0,,,,
2011-03-20,Springer,0.0,27.0,,,,
2011-12-25,Springer,0.0,27.0,,,,
2012-01-01,Springer,0.0,27.0,,,,
2012-01-08,Springer,0.0,27.0,,,,
2012-01-15,Springer,0.0,27.0,,,,
2012-01-22,Springer,0.0,27.0,,,,
2012-01-29,Springer,0.0,27.0,,,,
2012-02-05,Springer,0.0,27.0,,,,
2012-02-12,Springer,0.0,27.0,,,,
2012-02-19,Springer,0.0,27.0,,,,
2012-02-26,Springer,0.0,27.0,,,,
2012-03-04,Springer,0.0,27.0,,,,
2012-03-11,Springer,0.0,27.0,,,,
2012-03-18,Springer,0.0,27.0,,,,
2012-12-23,Springer,0.0,27.0,,,,
2012-12-30,Springer,0.0,27.0,,,,
2011-01-03,Springer,1.0,26.0,,,,
2011-01-10,Springer,1.0,26.0,,,,
2011-01-17,Springer,1.0,26.0,,,,
2011-01-24,Springer,1.0,26.0,,,,
2011-01-31,Springer,1.0,26.0,,,,
2011-02-07,Springer,1.0,26.0,,,,
2011-02-14,Springer,1.0,26.0,,,,
2011-02-21,Springer,1.0,26.0,,,,
2011-02-28,Springer,1.0,26.0,,,,
2011-03-07,Springer,1.0,26.0,,,,
2011-03-14,Springer,1.0,26.0,,,,
2011-12-26,Springer,1.0,26.0,,,,
2012-01-02,Springer,1.0,26.0,,,,
2012-01-09,Springer,1.0,26.0,,,,
2012-01-16,Springer,1.0,26.0,,,,
2012-01-23,Springer,1.0,26.0,,,,
2012-01-30,Springer,1.0,26.0,,,,
2012-02-06,Springer,1.0,26.0,,,,
2012-02-13,Springer,1.0,26.0,,,,
2012-02-20,Springer,1.0,26.0,,,,
2012-02-27,Springer,1.0,26.0,,,,
2012-03-05,Springer,1.0,26.0,,,,
2012-03-12,Springer,1.0,26.0,,,,
2012-03-19,Springer,1.0,26.0,,,,
2012-12-24,Springer,1.0,26.0,,,,
2012-12-31,Springer,1.0,26.0,,,,
2011-01-04,Springer,2.0,25.0,,,,
2011-01-11,Springer,2.0,25.0,,,,
2011-01-18,Springer,2.0,25.0,,,,
2011-01-25,Springer,2.0,25.0,,,,
2011-02-01,Springer,2.0,25.0,,,,
2011-02-08,Springer,2.0,25.0,,,,
2011-02-15,Springer,2.0,25.0,,,,
2011-02-22,Springer,2.0,25.0,,,,
2011-03-01,Springer,2.0,25.0,,,,
2011-03-08,Springer,2.0,25.0,,,,
2011-03-15,Springer,2.0,25.0,,,,
2011-12-27,Springer,2.0,25.0,,,,
2012-01-03,Springer,2.0,25.0,,,,
2012-01-10,Springer,2.0,25.0,,,,
2012-01-17,Springer,2.0,25.0,,,,
2012-01-24,Springer,2.0,25.0,,,,
2012-01-31,Springer,2.0,25.0,,,,
2012-02-07,Springer,2.0,25.0,,,,
2012-02-14,Springer,2.0,25.0,,,,
2012-02-21,Springer,2.0,25.0,,,,
2012-02-28,Springer,2.0,25.0,,,,
2012-03-06,Springer,2.0,25.0,,,,
2012-03-13,Springer,2.0,25.0,,,,
2012-03-20,Springer,2.0,25.0,,,,
2012-12-25,Springer,2.0,25.0,,,,
2011-01-05,Springer,3.0,25.0,,,,
2011-01-12,Springer,3.0,25.0,,,,
2011-01-19,Springer,3.0,25.0,,,,
2011-01-26,Springer,3.0,25.0,,,,
2011-02-02,Springer,3.0,25.0,,,,
2011-02-09,Springer,3.0,25.0,,,,
2011-02-16,Springer,3.0,25.0,,,,
2011-02-23,Springer,3.0,25.0,,,,
2011-03-02,Springer,3.0,25.0,,,,
2011-03-09,Springer,3.0,25.0,,,,
2011-03-16,Springer,3.0,25.0,,,,
2011-12-21,Springer,3.0,25.0,,,,
2011-12-28,Springer,3.0,25.0,,,,
2012-01-04,Springer,3.0,25.0,,,,
2012-01-11,Springer,3.0,25.0,,,,
2012-01-18,Springer,3.0,25.0,,,,
2012-01-25,Springer,3.0,25.0,,,,
2012-02-01,Springer,3.0,25.0,,,,
2012-02-08,Springer,3.0,25.0,,,,
2012-02-15,Springer,3.0,25.0,,,,
2012-02-22,Springer,3.0,25.0,,,,
2012-02-29,Springer,3.0,25.0,,,,
2012-03-07,Springer,3.0,25.0,,,,
2012-03-14,Springer,3.0,25.0,,,,
2012-12-26,Springer,3.0,25.0,,,,
2011-01-06,Springer,4.0,25.0,,,,
2011-01-13,Springer,4.0,25.0,,,,
2011-01-20,Springer,4.0,25.0,,,,
2011-01-27,Springer,4.0,25.0,,,,
2011-02-03,Springer,4.0,25.0,,,,
2011-02-10,Springer,4.0,25.0,,,,
2011-02-17,Springer,4.0,25.0,,,,
2011-02-24,Springer,4.0,25.0,,,,
2011-03-03,Springer,4.0,25.0,,,,
2011-03-10,Springer,4.0,25.0,,,,
2011-03-17,Springer,4.0,25.0,,,,
2011-12-22,Springer,4.0,25.0,,,,
2011-12-29,Springer,4.0,25.0,,,,
2012-01-05,Springer,4.0,25.0,,,,
2012-01-12,Springer,4.0,25.0,,,,
2012-01-19,Springer,4.0,25.0,,,,
2012-01-26,Springer,4.0,25.0,,,,
2012-02-02,Springer,4.0,25.0,,,,
2012-02-09,Springer,4.0,25.0,,,,
2012-02-16,Springer,4.0,25.0,,,,
2012-02-23,Springer,4.0,25.0,,,,
2012-03-01,Springer,4.0,25.0,,,,
2012-03-08,Springer,4.0,25.0,,,,
2012-03-15,Springer,4.0,25.0,,,,
2012-12-27,Springer,4.0,25.0,,,,
2011-01-07,Springer,5.0,26.0,,,,
2011-01-14,Springer,5.0,26.0,,,,
2011-01-21,Springer,5.0,26.0,,,,
2011-01-28,Springer,5.0,26.0,,,,
2011-02-04,Springer,5.0,26.0,,,,
2011-02-11,Springer,5.0,26.0,,,,
2011-02-18,Springer,5.0,26.0,,,,
2011-02-25,Springer,5.0,26.0,,,,
2011-03-04,Springer,5.0,26.0,,,,
2011-03-11,Springer,5.0,26.0,,,,
2011-03-18,Springer,5.0,26.0,,,,
2011-12-23,Springer,5.0,26.0,,,,
2011-12-30,Springer,5.0,26.0,,,,
2012-01-06,Springer,5.0,26.0,,,,
2012-01-13,Springer,5.0,26.0,,,,
2012-01-20,Springer,5.0,26.0,,,,
2012-01-27,Springer,5.0,26.0,,,,
2012-02-03,Springer,5.0,26.0,,,,
2012-02-10,Springer,5.0,26.0,,,,
2012-02-17,Springer,5.0,26.0,,,,
2012-02-24,Springer,5.0,26.0,,,,
2012-03-02,Springer,5.0,26.0,,,,
2012-03-09,Springer,5.0,26.0,,,,
2012-03-16,Springer,5.0,26.0,,,,
2012-12-21,Springer,5.0,26.0,,,,
2012-12-28,Springer,5.0,26.0,,,,
2011-01-01,Springer,6.0,27.0,,,,
2011-01-08,Springer,6.0,27.0,,,,
2011-01-15,Springer,6.0,27.0,,,,
2011-01-22,Springer,6.0,27.0,,,,
2011-01-29,Springer,6.0,27.0,,,,
2011-02-05,Springer,6.0,27.0,,,,
2011-02-12,Springer,6.0,27.0,,,,
2011-02-19,Springer,6.0,27.0,,,,
2011-02-26,Springer,6.0,27.0,,,,
2011-03-05,Springer,6.0,27.0,,,,
2011-03-12,Springer,6.0,27.0,,,,
2011-03-19,Springer,6.0,27.0,,,,
2011-12-24,Springer,6.0,27.0,,,,
2011-12-31,Springer,6.0,27.0,,,,
2012-01-07,Springer,6.0,27.0,,,,
2012-01-14,Springer,6.0,27.0,,,,
2012-01-21,Springer,6.0,27.0,,,,
2012-01-28,Springer,6.0,27.0,,,,
2012-02-04,Springer,6.0,27.0,,,,
2012-02-11,Springer,6.0,27.0,,,,
2012-02-18,Springer,6.0,27.0,,,,
2012-02-25,Springer,6.0,27.0,,,,
2012-03-03,Springer,6.0,27.0,,,,
2012-03-10,Springer,6.0,27.0,,,,
2012-03-17,Springer,6.0,27.0,,,,
2012-12-22,Springer,6.0,27.0,,,,
2012-12-29,Springer,6.0,27.0,,,,
2011-03-27,Summer,0.0,26.0,,,,
2011-04-03,Summer,0.0,26.0,,,,
2011-04-10,Summer,0.0,26.0,,,,
2011-04-17,Summer,0.0,26.0,,,,
2011-04-24,Summer,0.0,26.0,,,,
2011-05-01,Summer,0.0,26.0,,,,
2011-05-08,Summer,0.0,26.0,,,,
2011-05-15,Summer,0.0,26.0,,,,
2011-05-22,Summer,0.0,26.0,,,,
2011-05-29,Summer,0.0,26.0,,,,
2011-06-05,Summer,0.0,26.0,,,,
2011-06-12,Summer,0.0,26.0,,,,
2011-06-19,Summer,0.0,26.0,,,,
2012-03-25,Summer,0.0,26.0,,,,
2012-04-01,Summer,0.0,26.0,,,,
2012-04-08,Summer,0.0,26.0,,,,
2012-04-15,Summer,0.0,26.0,,,,
2012-04-22,Summer,0.0,26.0,,,,
2012-04-29,Summer,0.0,26.0,,,,
2012-05-06,Summer,0.0,26.0,,,,
2012-05-13,Summer,0.0,26.0,,,,
2012-05-20,Summer,0.0,26.0,,,,
2012-05-27,Summer,0.0,26.0,,,,
2012-06-03,Summer,0.0,26.0,,,,
2012-06-10,Summer,0.0,26.0,,,,
2012-06-17,Summer,0.0,26.0,,,,
2011-03-21,Summer,1.0,27.0,,,,
2011-03-28,Summer,1.0,27.0,,,,
2011-04-04,Summer,1.0,27.0,,,,
2011-04-11,Summer,1.0,27.0,,,,
2011-04-18,Summer,1.0,27.0,,,,
2011-04-25,Summer,1.0,27.0,,,,
2011-05-02,Summer,1.0,27.0,,,,
2011-05-09,Summer,1.0,27.0,,,,
2011-05-16,Summer,1.0,27.0,,,,
2011-05-23,Summer,1.0,27.0,,,,
2011-05-30,Summer,1.0,27.0,,,,
2011-06-06,Summer,1.0,27.0,,,,
2011-06-13,Summer,1.0,27.0,,,,
2011-06-20,Summer,1.0,27.0,,,,
2012-03-26,Summer,1.0,27.0,,,,
2012-04-02,Summer,1.0,27.0,,,,
2012-04-09,Summer,1.0,27.0,,,,
2012-04-16,Summer,1.0,27.0,,,,
2012-04-23,Summer,1.0,27.0,,,,
2012-04-30,Summer,1.0,27.0,,,,
2012-05-07,Summer,1.0,27.0,,,,
2012-05-14,Summer,1.0,27.0,,,,
2012-05-21,Summer,1.0,27.0,,,,
2012-05-28,Summer,1.0,27.0,,,,
2012-06-04,Summer,1.0,27.0,,,,
2012-06-11,Summer,1.0,27.0,,,,
2012-06-18,Summer,1.0,27.0,,,,
2011-03-22,Summer,2.0,26.0,,,,
2011-03-29,Summer,2.0,26.0,,,,
2011-04-05,Summer,2.0,26.0,,,,
2011-04-12,Summer,2.0,26.0,,,,
2011-04-19,Summer,2.0,26.0,,,,
2011-04-26,Summer,2.0,26.0,,,,
2011-05-03,Summer,2.0,26.0,,,,
2011-05-10,Summer,2.0,26.0,,,,
2011-05-17,Summer,2.0,26.0,,,,
2011-05-24,Summer,2.0,26.0,,,,
2011-05-31,Summer,2.0,26.0,,,,
2011-06-07,Summer,2.0,26.0,,,,
2011-06-14,Summer,2.0,26.0,,,,
2012-03-27,Summer,2.0,26.0,,,,
2012-04-03,Summer,2.0,26.0,,,,
2012-04-10,Summer,2.0,26.0,,,,
2012-04-17,Summer,2.0,26.0,,,,
2012-04-24,Summer,2.0,26.0,,,,
2012-05-01,Summer,2.0,26.0,,,,
2012-05-08,Summer,2.0,26.0,,,,
2012-05-15,Summer,2.0,26.0,,,,
2012-05-22,Summer,2.0,26.0,,,,
2012-05-29,Summer,2.0,26.0,,,,
2012-06-05,Summer,2.0,26.0,,,,
2012-06-12,Summer,2.0,26.0,,,,
2012-06-19,Summer,2.0,26.0,,,,
2011-03-23,Summer,3.0,27.0,,,,
2011-03-30,Summer,3.0,27.0,,,,
2011-04-06,Summer,3.0,27.0,,,,
2011-04-13,Summer,3.0,27.0,,,,
2011-04-20,Summer,3.0,27.0,,,,
2011-04-27,Summer,3.0,27.0,,,,
2011-05-04,Summer,3.0,27.0,,,,
2011-05-11,Summer,3.0,27.0,,,,
2011-05-18,Summer,3.0,27.0,,,,
2011-05-25,Summer,3.0,27.0,,,,
2011-06-01,Summer,3.0,27.0,,,,
2011-06-08,Summer,3.0,27.0,,,,
2011-06-15,Summer,3.0,27.0,,,,
2012-03-21,Summer,3.0,27.0,,,,
2012-03-28,Summer,3.0,27.0,,,,
2012-04-04,Summer,3.0,27.0,,,,
2012-04-11,Summer,3.0,27.0,,,,
2012-04-18,Summer,3.0,27.0,,,,
2012-04-25,Summer,3.0,27.0,,,,
2012-05-02,Summer,3.0,27.0,,,,
2012-05-09,Summer,3.0,27.0,,,,
2012-05-16,Summer,3.0,27.0,,,,
2012-05-23,Summer,3.0,27.0,,,,
2012-05-30,Summer,3.0,27.0,,,,
2012-06-06,Summer,3.0,27.0,,,,
2012-06-13,Summer,3.0,27.0,,,,
2012-06-20,Summer,3.0,27.0,,,,
2011-03-24,Summer,4.0,26.0,,,,
2011-03-31,Summer,4.0,26.0,,,,
2011-04-07,Summer,4.0,26.0,,,,
2011-04-14,Summer,4.0,26.0,,,,
2011-04-21,Summer,4.0,26.0,,,,
2011-04-28,Summer,4.0,26.0,,,,
2011-05-05,Summer,4.0,26.0,,,,
2011-05-12,Summer,4.0,26.0,,,,
2011-05-19,Summer,4.0,26.0,,,,
2011-05-26,Summer,4.0,26.0,,,,
2011-06-02,Summer,4.0,26.0,,,,
2011-06-09,Summer,4.0,26.0,,,,
2011-06-16,Summer,4.0,26.0,,,,
2012-03-22,Summer,4.0,26.0,,,,
2012-03-29,Summer,4.0,26.0,,,,
2012-04-05,Summer,4.0,26.0,,,,
2012-04-12,Summer,4.0,26.0,,,,
2012-04-19,Summer,4.0,26.0,,,,
2012-04-26,Summer,4.0,26.0,,,,
2012-05-03,Summer,4.0,26.0,,,,
2012-05-10,Summer,4.0,26.0,,,,
2012-05-17,Summer,4.0,26.0,,,,
2012-05-24,Summer,4.0,26.0,,,,
2012-05-31,Summer,4.0,26.0,,,,
2012-06-07,Summer,4.0,26.0,,,,
2012-06-14,Summer,4.0,26.0,,,,
2011-03-25,Summer,5.0,26.0,,,,
2011-04-01,Summer,5.0,26.0,,,,
2011-04-08,Summer,5.0,26.0,,,,
2011-04-15,Summer,5.0,26.0,,,,
2011-04-22,Summer,5.0,26.0,,,,
2011-04-29,Summer,5.0,26.0,,,,
2011-05-06,Summer,5.0,26.0,,,,
2011-05-13,Summer,5.0,26.0,,,,
2011-05-20,Summer,5.0,26.0,,,,
2011-05-27,Summer,5.0,26.0,,,,
2011-06-03,Summer,5.0,26.0,,,,
2011-06-10,Summer,5.0,26.0,,,,
2011-06-17,Summer,5.0,26.0,,,,
2012-03-23,Summer,5.0,26.0,,,,
2012-03-30,Summer,5.0,26.0,,,,
2012-04-06,Summer,5.0,26.0,,,,
2012-04-13,Summer,5.0,26.0,,,,
2012-04-20,Summer,5.0,26.0,,,,
2012-04-27,Summer,5.0,26.0,,,,
2012-05-04,Summer,5.0,26.0,,,,
2012-05-11,Summer,5.0,26.0,,,,
2012-05-18,Summer,5.0,26.0,,,,
2012-05-25,Summer,5.0,26.0,,,,
2012-06-01,Summer,5.0,26.0,,,,
2012-06-08,Summer,5.0,26.0,,,,
2012-06-15,Summer,5.0,26.0,,,,
2011-03-26,Summer,6.0,26.0,,,,
2011-04-02,Summer,6.0,26.0,,,,
2011-04-09,Summer,6.0,26.0,,,,
2011-04-16,Summer,6.0,26.0,,,,
2011-04-23,Summer,6.0,26.0,,,,
2011-04-30,Summer,6.0,26.0,,,,
2011-05-07,Summer,6.0,26.0,,,,
2011-05-14,Summer,6.0,26.0,,,,
2011-05-21,Summer,6.0,26.0,,,,
2011-05-28,Summer,6.0,26.0,,,,
2011-06-04,Summer,6.0,26.0,,,,
2011-06-11,Summer,6.0,26.0,,,,
2011-06-18,Summer,6.0,26.0,,,,
2012-03-24,Summer,6.0,26.0,,,,
2012-03-31,Summer,6.0,26.0,,,,
2012-04-07,Summer,6.0,26.0,,,,
2012-04-14,Summer,6.0,26.0,,,,
2012-04-21,Summer,6.0,26.0,,,,
2012-04-28,Summer,6.0,26.0,,,,
2012-05-05,Summer,6.0,26.0,,,,
2012-05-12,Summer,6.0,26.0,,,,
2012-05-19,Summer,6.0,26.0,,,,
2012-05-26,Summer,6.0,26.0,,,,
2012-06-02,Summer,6.0,26.0,,,,
2012-06-09,Summer,6.0,26.0,,,,
2012-06-16,Summer,6.0,26.0,,,,
2011-09-25,Winter,0.0,26.0,,,,
2011-10-02,Winter,0.0,26.0,,,,
2011-10-09,Winter,0.0,26.0,,,,
2011-10-16,Winter,0.0,26.0,,,,
2011-10-23,Winter,0.0,26.0,,,,
2011-10-30,Winter,0.0,26.0,,,,
2011-11-06,Winter,0.0,26.0,,,,
2011-11-13,Winter,0.0,26.0,,,,
2011-11-20,Winter,0.0,26.0,,,,
2011-11-27,Winter,0.0,26.0,,,,
2011-12-04,Winter,0.0,26.0,,,,
2011-12-11,Winter,0.0,26.0,,,,
2011-12-18,Winter,0.0,26.0,,,,
2012-09-23,Winter,0.0,26.0,,,,
2012-09-30,Winter,0.0,26.0,,,,
2012-10-07,Winter,0.0,26.0,,,,
2012-10-14,Winter,0.0,26.0,,,,
2012-10-21,Winter,0.0,26.0,,,,
2012-10-28,Winter,0.0,26.0,,,,
2012-11-04,Winter,0.0,26.0,,,,
2012-11-11,Winter,0.0,26.0,,,,
2012-11-18,Winter,0.0,26.0,,,,
2012-11-25,Winter,0.0,26.0,,,,
2012-12-02,Winter,0.0,26.0,,,,
2012-12-09,Winter,0.0,26.0,,,,
2012-12-16,Winter,0.0,26.0,,,,
2011-09-26,Winter,1.0,26.0,,,,
2011-10-03,Winter,1.0,26.0,,,,
2011-10-10,Winter,1.0,26.0,,,,
2011-10-17,Winter,1.0,26.0,,,,
2011-10-24,Winter,1.0,26.0,,,,
2011-10-31,Winter,1.0,26.0,,,,
2011-11-07,Winter,1.0,26.0,,,,
2011-11-14,Winter,1.0,26.0,,,,
2011-11-21,Winter,1.0,26.0,,,,
2011-11-28,Winter,1.0,26.0,,,,
2011-12-05,Winter,1.0,26.0,,,,
2011-12-12,Winter,1.0,26.0,,,,
2011-12-19,Winter,1.0,26.0,,,,
2012-09-24,Winter,1.0,26.0,,,,
2012-10-01,Winter,1.0,26.0,,,,
2012-10-08,Winter,1.0,26.0,,,,
2012-10-15,Winter,1.0,26.0,,,,
2012-10-22,Winter,1.0,26.0,,,,
2012-10-29,Winter,1.0,26.0,,,,
2012-11-05,Winter,1.0,26.0,,,,
2012-11-12,Winter,1.0,26.0,,,,
2012-11-19,Winter,1.0,26.0,,,,
2012-11-26,Winter,1.0,26.0,,,,
2012-12-03,Winter,1.0,26.0,,,,
